date,actual,counterfactual,ci_lower,ci_upper
2018-01-01,41,34.23630335183606,-12896.236474584011,12964.709081287685
2018-02-01,42,43.84883831290771,35.435797898190025,52.26187872762539
2018-03-01,38,40.28007986235697,32.61350675599663,47.946652968717316
2018-04-01,36,38.364911888594044,30.859900882340376,45.869922894847704
2018-05-01,37,36.42735890451418,28.964371570108312,43.89034623892005
2018-06-01,34,34.95416584828326,27.50259971882946,42.405731977737055
2018-07-01,32,35.1130383482972,27.664612786533493,42.56146391006091
2018-08-01,31,32.318222447285265,24.870663235591337,39.765781658979186
2018-09-01,33,33.13262956042806,25.685309548796546,40.57994957205957
2018-10-01,35,34.23402186009904,26.786767907888315,41.681275812309764
2018-11-01,32,32.606360088763374,25.159124381280698,40.05359579624606
2018-12-01,29,30.450205721035815,23.002975052596316,37.89743638947531
2019-01-01,31,31.630603629644092,24.183374352953827,39.07783290633436
2019-02-01,34,33.475458602510514,26.0282297102124,40.92268749480863
2019-03-01,35,32.65230663647892,25.20507785034748,40.09953542261036
2019-04-01,49,32.87778295849769,25.430554201688814,40.32501171530656
2019-05-01,33,40.77204084853086,33.32481209982069,48.21926959724102
2019-06-01,33,36.16546444133762,28.718235694864262,43.612693187810976
2019-07-01,36,37.634400993147,30.187172247291432,45.08162973900256
2019-08-01,36,35.082130975252745,27.634902229567814,42.52935972093768
2019-09-01,39,39.28552565400932,31.83829690837151,46.73275439964712
2019-10-01,39,37.58816578262011,30.140937036995325,45.0353945282449
2019-11-01,38,38.3190123088536,30.871783563232405,45.76624105447479
2019-12-01,33,36.942668051834914,29.495439306214717,44.389896797455116
2020-01-01,37,36.63424947689507,29.187020731275148,44.081478222515
2020-02-01,39,40.63667629557571,33.18944754995586,48.08390504119556
2020-03-01,34,33.70357931754207,26.256350571922248,41.150808063161904
2020-04-01,33,30.1686109768095,22.72138223118968,37.61583972242932
2020-05-01,35,30.83818073856478,23.390951992944963,38.285409484184605
2020-06-01,35,33.27232408871441,25.825095343094596,40.71955283433424
2020-07-01,33,34.796499314270996,27.349270568651175,42.24372805989082
2020-08-01,32,32.90244188373579,25.455213138115973,40.349670629355614
2020-09-01,33,36.24184958083467,28.79462083521485,43.68907832645449
2020-10-01,28,32.40671466371131,24.959485918091495,39.85394340933114
2020-11-01,25,29.12125702735928,21.67402828173946,36.5684857729791
2020-12-01,25,27.594765932478285,20.147537186858465,35.041994678098106
2021-01-01,24,25.56722096571321,18.11999222009339,33.01444971133303
2021-02-01,25,29.050750603727998,21.603521858108177,36.49797934934782
2021-03-01,26,27.4963976479644,20.04916890234458,34.943626393584225
